title,link,deadline
NGI Mobifree open call (2024-12M),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9085?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",01 December 2024
SME Market Expansion Open Call 2025,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9088?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",02 December 2024
SKILLS AND TALENT DEVELOPMENT,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-MEDIA-2025-TRAINING?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",24 April 2025
Video game and immersive content development,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-MEDIA-2025-DEVVGIM?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",12 February 2025
Innovative tools and business models,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-MEDIA-2025-INNOVBUSMOD?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",16 January 2025
MEDIA 360°,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-MEDIA-2025-MEDIA360?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",09 January 2025
Audience Development and Film Education,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-MEDIA-2025-AUDFILMEDU?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",27 March 2025
Films on the Move,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-MEDIA-2025-FILMOVE?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",20 March 2025
Stepping up organisational and entrepreneurial capacity of SMEs in social economy,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/SMP-COSME-2024-SEE-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",10 December 2024
Partnerships for circular value chains between mainstream businesses and SMEs in social economy,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/SMP-COSME-2024-SEE-02?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",10 December 2024
TV and online content,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-MEDIA-2025-TVONLINE?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",05 December 2024
European slate development,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CREA-MEDIA-2025-DEVSLATE?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",05 December 2024
Cross-Border Cooperation Programme Montenegro-Kosovo for 2021-2027 (Budget lines IPA 2022 and 2024),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/182533PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",14 November 2024
TALOS Open Call,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8782?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",03 December 2024
RDA TIGER Cascading Grants for RDA WG support,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9068?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",03 December 2024
AI REDGIO 5.0: Open call for innovative experiments,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9021?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",16 December 2024
XR2LEARN Open Call 2,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9065?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",27 December 2024
MK 21 IPA JH 01 24 TWL Agency for protection of the right to free access to public information (APRFAPI) North Macedonia,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/182901PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",28 November 2024
Appui à la Gestion des Aires Protégées dans les paysages prioritaires au Gabon,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/prospect-details/182766PROSPECTSEN?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",12 November 2024
EIT Higher Education Institutions (HEI) Initiative Call for Proposals 2024,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9066?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",12 December 2024
Demonstrating feasibility and environmental benefits of regenerative ocean farming and boosting algae innovation (Topic 2),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EMFAF-2025-PIA-FLAGSHIP-OCEANFARMING?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",18 February 2025
Maritime regional cooperation fostering Smart Specialisation and Innovation in the Sustainable Blue Economy (Topic 1),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EMFAF-2025-PIA-FLAGSHIP-I3?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",18 February 2025
ERC CONSOLIDATOR GRANTS,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERC-2025-COG?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",14 January 2025
Multimodal passenger hubs – Studies,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SUSTMOBGEN-MULTHUB-Studies?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
European Maritime Space / Short-sea shipping – works,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SUSTMOBGEN-EMS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"Maritime ports – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-CORECOEN-MARP-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"Inland waterways and ports – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-CORECOEN-IWWP-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"Roads and multimodal freight terminals – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-CORECOEN-ROADS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"Rail – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-CORECOEN-RAIL-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
Quantum Chip Technology for high-quality Trapped Ions Pilot,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-Chips-FPA-QAC-2?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
Quantum Chip Technology for stability Pilots,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-JU-Chips-FPA-QAC-1?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"Maritime ports – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-COMPCOEN-MARP-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"Roads and multimodal freight terminals – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-COMPCOEN-ROADS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"Rail – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-COMPCOEN-RAIL-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"Inland ports – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-COMPCOEN-IWWP-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"Adapting the transport infrastructure for Union external border checks purposes – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SAFEMOBGEN-EXTBORDER-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
Safe and secure parking infrastructure - works,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SAFEMOBGEN-PARKINGS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"Improving transport infrastructure resilience – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SAFEMOBGEN-RESILIENCE-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
Smart applications for transport - ERTMS – unit contribution,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBCOEN-ERTMS-UNITS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
Other ATM Projects – works,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-SESAR-OP-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
ERTMS – unit contribution,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-ERTMS-UNITS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
SESAR Common Project One implementation projects – works,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-SESAR-CP-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"ITS – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-ITS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"eFTI – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-eFTI-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"SESAR digital sky demonstrators for a greener, more scalable and resilient ATM – works","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-SESAR-DSDU-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"Removing interoperability barriers- studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-REMIB-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"RIS – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-RIS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"EMSWe – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-EMSWe-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"VTMIS – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SIMOBGEN-VTMIS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
Safe and secure parking infrastructure - works,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SAFEMOBCOEN-PARKINGS-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"Improving transport infrastructure resilience – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SAFEMOBCOEN-RESILIENCE-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
"Road safety – studies, works or mixed","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/CEF-T-2024-SAFEMOBCOEN-ROADSAFETY-WORKS?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 January 2025
NGI Sargasso 5th Open Call,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9002?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",25 November 2024
6G-PATH - Open Call #1,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8801?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 November 2024
Mobility Lump Sum to Translogistica mission,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8981?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",20 November 2024
CETPartnership Joint Call 2024,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8581?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",21 November 2024
European Higher Education Area (EHEA),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2024-EHEA?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",18 December 2024
National Academic Recognition Information Centres (NARIC),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ERASMUS-EDU-2024-NARIC?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",18 December 2024
MSCA Staff Exchanges 2024,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MSCA-2024-SE-01-01?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",05 February 2025
NCC-SE Grants to SME:s for Cybersecurity Capacity Building ,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8942?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",13 November 2024
Sailing towards ocean and water literacy with school communities,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8961?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",20 November 2024
Inno2Market – Empowering SMEs 2024,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8622?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",18 November 2024
Support to the activities of the SET Plan Key Action area Renewable fuels and bioenergy,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2024-D3-02-13?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",04 February 2025
"Call for proposals to support a comprehensive, prevention-oriented approach to mental health in the Union - (DP-g-24-25)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-1?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",22 January 2025
"Call for proposals on health promotion and prevention of noncommunicable and communicable diseases, including vaccine-preventable and other cancers caused by infections, and on smoke- and aerosol-free environments - (DP/CR-g-24-29)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-2-c?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",22 January 2025
"Call for proposals on health promotion and prevention of noncommunicable and communicable diseases, including vaccine-preventable and other cancers caused by infections, and on smoke- and aerosol-free environments - (DP/CR-g-24-29)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-2-a?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",22 January 2025
"Call for proposals on health promotion and prevention of noncommunicable and communicable diseases, including vaccine-preventable and other cancers caused by infections, and on smoke- and aerosol-free environments - (DP/CR-g-24-29)","ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-2-b?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",22 January 2025
Call for proposals on advancing the adoption of artificial intelligence in health (DI-g-24-76),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-6?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",22 January 2025
Call for Proposals on radiation safety and quality of computed tomography imaging of children and young adults - (CR-g-24-42),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-3?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",22 January 2025
Call for proposals on Personalised Cancer Medicine - (CR-g-24-99),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-4?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",22 January 2025
Mobility Management Plans and Behavioural Change,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MISS-2024-CIT-01-03?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",11 February 2025
Call for proposal: action grants to contribute to the organisations of conference and events - (OA-g-24-79),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-7?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",22 January 2025
Call for proposals to support the establishment of new networks of expertise on cancer and cancer conditions - (CR-g-24-96),"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/EU4H-2024-PJ-03-5?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",22 January 2025
Zero-pollution cities,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MISS-2024-CIT-01-02?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",11 February 2025
Integrated peri-urban areas in the transition towards climate neutrality,"ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MISS-2024-CIT-01-04?isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=startDate",11 February 2025
